nome;longitude;latitude
Ibitinga;-48.831.903;-21.75.623
Ibiúna;-47.223.037;-23.65.961
Icém;-49.191.546;-20.339.067
Iepê;-51.077.881;-22.660.165
Igarapava;-47.746.576;-20.040.687
Igaratá;-46.156.985;-23.20.366
Igaraçu do Tietê;-48.559.672;-22.509.044
Iguape;-47.553.659;-24.699.015
Ilha Comprida;-47.538.275;-24.730.743
Ilha Solteira;-51.342.552;-20.432.629
Ilhabela;-45.355.226;-23.778.533
Indaiatuba;-47.210.093;-23.081.591
Indiana;-51.255.467;-22.173.779
Indiaporã;-50.290.856;-19.978.952
Inúbia Paulista;-50.963.268;-21.769.471
Ipaussu;-49.627911;-23.05753
Iperó;-47.692.717;-23.351.296
Ipeúna;-47.715.086;-22.435.513
Ipiguá;-49.384.161;-20.655.734
Iporanga;-48.597.119;-24.584.718
Ipuã;-48.012.881;-20.443.785
Iracemápolis;-47.522.963;-22.583.234
Irapuru;-51.347171;-21.56839
Irapuã;-49.416.398;-21.276.832
Itaberá;-49.139.987;-23.863.827
Itajobi;-49.062.863;-21.312.294
Itaju;-48.811.549;-21.985.691
Itanhaém;-46.787.986;-24.173.633
Itapecerica da Serra;-46.857.193;-23.716.135
Itapetininga;-48.048.326;-23.588.607
Itapeva;-48.876.433;-23.978.823
Itapevi;-46.932.747;-23.548.774
Itapira;-46.822.434;-22.435.731
Itapirapuã Paulista;-49.166.151;-24.572.033
Itaporanga;-49.481.854;-23.704.273
Itapura;-51.506.322;-20.641.911
Itapuí;-48.719.734;-22.232.445
Itaquaquecetuba;-46.345.724;-23.483.481
Itararé;-49.335.215;-24.108.451
Itariri;-47.173.619;-24.283.404
Itatiba;-46.846.353;-23.003.497
Itatinga;-48.615.712;-23.104.707
Itaí;-49.092.005;-23.42.129
Itaóca;-48.841.285;-24.639.252
Itirapina;-47.816.594;-22.256.239
Itirapuã;-47.219.446;-20.641.585
Itobi;-469.743;-21.730.853
Itu;-47.292.688;-23.254.397
Itupeva;-47.059.262;-23.152.635
Ituverava;-47.790.207;-20.335.465
Itápolis;-48.81.491;-21.594.224
Jaborandi;-48.411.167;-20.688.422
Jaboticabal;-48.325.223;-21.252.037
Jacareí;-45.965.814;-23.29.829
Jaci;-49.579.732;-20.880.468
Jacupiranga;-48.006.402;-24.696.326
Jaguariúna;-46.985.062;-22.70.374
Jales;-50.549.442;-20.267.227
Jambeiro;-45.694.214;-23.252.217
Jandira;-46.902.314;-23.527.537
Jardinópolis;-47.760.583;-21.017.612
Jarinu;-46.728.015;-23.103.855
Jaú;-48.559.193;-22.293.585
Jeriquara;-47.591.835;-20.311.567
Joanópolis;-46.274.118;-22.926.999
José Bonifácio;-49.689.233;-21.055.062
João Ramalho;-50.769.359;-22.247.339
Jumirim;-47.786.821;-23.088.361
Jundiaí;-46.897.358;-23.185.218
Junqueirópolis;-51.434.187;-21.510.348
Juquitiba;-47.065.332;-23.924.381
Juquiá;-47.64.264;-24.310.084
Júlio Mesquita;-49.787.294;-22.011.174
Lagoinha;-45.194.415;-23.084.621
Laranjal Paulista;-47.837.549;-23.050.564
Lavrinhas;-44.902.359;-22.570.047
Lavínia;-51.041.172;-21.163.913
Leme;-47.384.109;-22.180.857
Lençóis Paulista;-48.803.683;-22.602.693
Limeira;-47.396.987;-22.56.605
Lindóia;-46.650.035;-22.522.562
Lins;-49.752.555;-21.67.182
Lorena;-45.11.968;-22.73.338
Lourdes;-50.226.274;-20.966.025
Louveira;-46.948.369;-23.085.572
Lucianópolis;-49.522.002;-22.429.418
Lucélia;-51.021.511;-21.718.203
Luiziânia;-50.329.438;-21.673.748
Lupércio;-49.818.019;-22.41.459
Lutécia;-50.394.007;-22.338.378
Luís Antônio;-47.700.838;-21.550.625
Macatuba;-48.710.229;-22.50.022
Macaubal;-49.968.732;-20.802.153
Macedônia;-50.197.269;-20.144.375
Magda;-50.230.542;-20.644.497
Mairinque;-47.184.995;-23.539.822
Mairiporã;-46.589.695;-23.31.713
Manduri;-49.320.164;-23.005.569
Marabá Paulista;-51.96.167;-22.106.766
Maracaí;-50.671.288;-22.614.921
Marapoama;-49.129.968;-21.258.719
Marinópolis;-50.825.384;-204.389
Mariápolis;-51.182.434;-21.79.592
Martinópolis;-51.170.949;-22.146.153
Marília;-49.95.006;-22.217.108
Matão;-48.363.968;-21.602.511
Mauá;-46.461.263;-23.66.767
Mendonça;-49.579.059;-21.175.724
Meridiano;-50.181.055;-20.357.874
Mesópolis;-50.632.641;-19.968.351
Miguelópolis;-48.030.997;-20.179.612
Mineiros do Tietê;-48.450.998;-22.412.007
Mira Estrela;-50.139.039;-19.978.925
Miracatu;-47.462.458;-24.276.639
Mirandópolis;-511.035;-21.131.345
Mirante do Paranapanema;-51.90.835;-22.290.427
Mirassol;-49.52.061;-20.816.874
Mirassolândia;-49.461.726;-20.617.859
Mococa;-47.002.405;-21.464.731
Mogi Guaçu;-469.428;-22.367.453
Mogi Mirim;-46.950.514;-22.431.878
Mogi das Cruzes;-46.18.541;-23.52.082
Mombuca;-47.558.957;-22.928.541
Mongaguá;-46.626.526;-24.080.901
Monte Alegre do Sul;-46.68.098;-22.681.699
Monte Alto;-48.497.066;-21.265.545
Monte Aprazível;-49.71.842;-20.768.015
Monte Azul Paulista;-48.638.717;-20.90.649
Monte Castelo;-51.567.889;-21.298.092
Monte Mor;-47.312.182;-22.945.043
Monteiro Lobato;-45.840.661;-22.954.413
Monções;-50.097.537;-20.850.949
Morro Agudo;-48.058.084;-20.728.828
Morungaba;-46.789.601;-22.881.071
Motuca;-48.153.764;-21.510.287
Murutinga do Sul;-51.277.389;-20.990.803
Nantes;-51.239.977;-22.615.559
Narandiba;-51.527.357;-22.405.737
Natividade da Serra;-45.446.764;-23.370.665
Nazaré Paulista;-46.398.295;-23.174.731
Neves Paulista;-49.635.767;-20.842.992
Nhandeara;-50.043.596;-20.69.455
Nipoã;-49.783.278;-20.911.397
Nova Aliança;-49.498.642;-21.015.649
Nova Campina;-48.902.179;-24.122.367
Nova Canaã Paulista;-50.948.264;-20.383.625
Nova Castilho;-50.347.741;-20.761.492
Nova Europa;-48.570.468;-21.77.647
Nova Granada;-49.312.268;-20.532.074
Nova Guataporanga;-51.644.655;-21.331.968
Nova Independência;-51.490.531;-21.10.263
Nova Luzitânia;-50.261.683;-20.855.967
Nova Odessa;-47.294.059;-22.783.186
Novais;-48.914.091;-20.98.928
Novo Horizonte;-49.223.409;-21.465.145
Nuporanga;-47.742.942;-20.729.619
Ocauçu;-49.922.005;-22.437.979
Olímpia;-48.910.625;-20.736.634
Onda Verde;-49.292.925;-20.60.423
Oriente;-50.097.105;-22.154.939
Orindiúva;-49.346.395;-20.18.607
Orlândia;-47.885.205;-20.716.925
Osasco;-46.791.555;-23.53.239
Oscar Bressane;-50.281.118;-22.314.874
Osvaldo Cruz;-50.879.288;-21.796.753
Ourinhos;-49.869.702;-22.979.695
Ouro Verde;-51.702.398;-21.48.715
Ouroeste;-50.376.807;-20.006.052
Pacaembu;-51.265.366;-21.562.661
Palestina;-49.430.854;-20.390.046
Palmares Paulista;-48.803.656;-21.085.369
Palmeira d`Oeste;-50.763.199;-20.414.776
Palmital;-50.217.964;-22.785.849
Panorama;-51.856.185;-21.353.973
Paraguaçu Paulista;-50.57.316;-22.411.369
Paraibuna;-45.663.943;-23.387.213
Paranapanema;-48.721.435;-23.386.196
Paranapuã;-50.588.634;-20.104.774
Parapuã;-50.794.882;-21.779.205
Paraíso;-48.776.105;-21.015.911
Pardinho;-48.367.942;-23.084.056
Pariquera-Açu;-47.874.152;-24.714.652
Parisi;-50.016.277;-20.303.397
Patrocínio Paulista;-47.280.124;-20.638.361
Paulicéia;-51.832.098;-21.315.262
Paulistânia;-49.400.845;-22.576.831
Paulo de Faria;-49.400.013;-20.029.612
Paulínia;-47.148.776;-22.754.178
Pederneiras;-48.778.113;-22.351.086
Pedra Bela;-46.44.555;-22.790.174
Pedranópolis;-50.112.937;-20.247.378
Pedregulho;-47.47.745;-20.253.468
Pedreira;-46.894.846;-22.741.347
Pedrinhas Paulista;-50.793.287;-22.817.378
Pedro de Toledo;-47.23.537;-24.276.391
Penápolis;-50.076.855;-21.414.765
Pereira Barreto;-51.112.268;-20.636.767
